 1948-2020 AMO unsmoothed, detrended from the Kaplan SST V2 Calculated at NOAA PSL1 http://www.psl.noaa.gov/data/timeseries/AMO/
         Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
 1948   -0.016   -0.028    0.027   -0.071   -0.005    0.054   -0.040   -0.023   -0.054    0.007    0.133    0.061
 1949    0.152    0.159    0.038    0.098   -0.025    0.000    0.071    0.101    0.069    0.103    0.107    0.117
 1950    0.110   -0.034   -0.106   -0.131   -0.059   -0.043   -0.056    0.019    0.009   -0.091    0.079    0.087
 1951    0.102   -0.003    0.012    0.168    0.172    0.288    0.421    0.303    0.249    0.258    0.174    0.174
 1952    0.171    0.182    0.229    0.190    0.180    0.382    0.371    0.403    0.361    0.353    0.249    0.339
 1953    0.264    0.184    0.140    0.312    0.341    0.274    0.342    0.257    0.279    0.147    0.243    0.257
 1954    0.226    0.094    0.099   -0.015    0.068    0.098   -0.046   -0.016   -0.012   -0.033   -0.028   -0.053
 1955    0.074    0.039    0.040    0.094    0.175    0.192    0.267    0.173    0.201    0.278    0.385    0.255
 1956    0.185    0.093    0.012    0.062   -0.059   -0.266   -0.092   -0.100   -0.091   -0.045   -0.088    0.017
 1957   -0.082   -0.108   -0.021   -0.075   -0.123   -0.014    0.038    0.200    0.219    0.148    0.082    0.077
 1958    0.047    0.187    0.342    0.344    0.199    0.219    0.162    0.159    0.210    0.150    0.183    0.217
 1959    0.098    0.112   -0.029   -0.006    0.005   -0.062   -0.034    0.010    0.123    0.110    0.049    0.107
 1960    0.174    0.214    0.086    0.094    0.300    0.316    0.268    0.333    0.208    0.294    0.248    0.135
 1961    0.058    0.078    0.146    0.224    0.191    0.030   -0.022    0.033    0.000    0.026    0.064    0.210
 1962    0.146    0.149    0.162    0.085    0.020   -0.074   -0.011   -0.066    0.001    0.062    0.043    0.187
 1963    0.154    0.163    0.130    0.101   -0.088   -0.050   -0.039   -0.077   -0.206   -0.075   -0.060   -0.064
 1964   -0.079    0.018    0.036   -0.150    0.037    0.000   -0.147   -0.238   -0.223   -0.275   -0.169   -0.125
 1965   -0.202   -0.180   -0.081   -0.100   -0.102   -0.130   -0.192   -0.214   -0.225   -0.251   -0.280   -0.127
 1966   -0.080    0.006   -0.014    0.040   -0.003   -0.049   -0.060   -0.047   -0.004    0.009   -0.001    0.076
 1967    0.077    0.084   -0.038   -0.019   -0.191   -0.265   -0.234   -0.169   -0.101   -0.104   -0.239   -0.157
 1968   -0.251   -0.202   -0.213   -0.160   -0.128   -0.267   -0.234   -0.218   -0.154   -0.118   -0.112   -0.131
 1969   -0.067    0.100    0.203    0.144    0.006    0.024    0.089   -0.106   -0.112   -0.190   -0.129   -0.036
 1970   -0.015   -0.053    0.014    0.015   -0.051   -0.187   -0.205   -0.145   -0.142   -0.201   -0.245   -0.214
 1971   -0.250   -0.297   -0.315   -0.417   -0.331   -0.367   -0.354   -0.440   -0.371   -0.239   -0.248   -0.313
 1972   -0.322   -0.385   -0.443   -0.331   -0.473   -0.493   -0.379   -0.388   -0.307   -0.291   -0.281   -0.355
 1973   -0.378   -0.398   -0.348   -0.269   -0.173   -0.179   -0.108   -0.137   -0.135   -0.220   -0.213   -0.242
 1974   -0.280   -0.288   -0.405   -0.527   -0.504   -0.451   -0.519   -0.472   -0.510   -0.512   -0.430   -0.365
 1975   -0.277   -0.343   -0.313   -0.349   -0.392   -0.299   -0.276   -0.189   -0.340   -0.358   -0.345   -0.326
 1976   -0.388   -0.445   -0.498   -0.430   -0.492   -0.487   -0.311   -0.189   -0.197   -0.297   -0.420   -0.436
 1977   -0.393   -0.337   -0.187   -0.221   -0.174   -0.111   -0.109   -0.149   -0.236   -0.228   -0.147   -0.208
 1978   -0.110   -0.151   -0.162   -0.199   -0.207   -0.336   -0.280   -0.230   -0.193   -0.211   -0.123   -0.186
 1979   -0.196   -0.154   -0.231   -0.240   -0.121   -0.045   -0.097   -0.118   -0.112   -0.091   -0.088   -0.062
 1980   -0.004   -0.081   -0.141   -0.003    0.127    0.106    0.048    0.020   -0.011   -0.064   -0.200   -0.252
 1981   -0.180   -0.178    0.003   -0.093   -0.082   -0.060   -0.092   -0.113   -0.034   -0.185   -0.135   -0.004
 1982   -0.079   -0.076   -0.078   -0.180   -0.189   -0.182   -0.226   -0.307   -0.305   -0.369   -0.415   -0.378
 1983   -0.296   -0.102    0.083    0.061   -0.046   -0.052   -0.013   -0.156   -0.213   -0.193   -0.156   -0.001
 1984   -0.104   -0.086   -0.123   -0.155   -0.164   -0.322   -0.264   -0.223   -0.207   -0.342   -0.422   -0.316
 1985   -0.352   -0.327   -0.354   -0.399   -0.335   -0.126   -0.151   -0.279   -0.245   -0.243   -0.293   -0.335
 1986   -0.341   -0.273   -0.291   -0.323   -0.227   -0.259   -0.247   -0.271   -0.218   -0.317   -0.396   -0.370
 1987   -0.276   -0.216   -0.031    0.031    0.070    0.204    0.281    0.281    0.195    0.048   -0.068    0.044
 1988   -0.041   -0.115   -0.010    0.051    0.137    0.165    0.109   -0.010   -0.097   -0.172   -0.149   -0.166
 1989   -0.223   -0.158   -0.255   -0.292   -0.149    0.089    0.175    0.111   -0.097   -0.125   -0.152   -0.155
 1990   -0.301   -0.164   -0.181   -0.120   -0.061   -0.058   -0.024    0.050    0.144    0.111   -0.056   -0.038
 1991   -0.198   -0.120   -0.072   -0.136   -0.156   -0.132   -0.110   -0.112   -0.040   -0.265   -0.264   -0.217
 1992   -0.194   -0.098   -0.096   -0.188   -0.226   -0.155   -0.223   -0.385   -0.374   -0.304   -0.339   -0.289
 1993   -0.244   -0.191   -0.248   -0.178   -0.168   -0.186   -0.281   -0.233   -0.169   -0.248   -0.323   -0.298
 1994   -0.301   -0.314   -0.284   -0.205   -0.212   -0.227   -0.236   -0.241   -0.158   -0.065   -0.025   -0.096
 1995   -0.068   -0.045    0.011    0.070    0.266    0.358    0.308    0.177    0.048    0.096    0.121    0.036
 1996   -0.016   -0.038   -0.063    0.003   -0.071   -0.130   -0.111   -0.014   -0.008   -0.151   -0.180   -0.161
 1997   -0.097   -0.042   -0.001    0.001    0.033    0.002    0.054    0.009    0.103    0.144    0.045    0.125
 1998    0.124    0.285    0.315    0.285    0.377    0.483    0.481    0.506    0.406    0.376    0.311    0.273
 1999    0.044    0.051    0.063    0.046    0.156    0.174    0.192    0.300    0.178    0.011   -0.055    0.008
 2000   -0.090   -0.045    0.097    0.036    0.099   -0.024    0.066    0.096    0.095   -0.046   -0.059   -0.133
 2001   -0.134   -0.033    0.008   -0.018   -0.016    0.192    0.129    0.171    0.280    0.245    0.150    0.207
 2002    0.175    0.158    0.138    0.021   -0.055   -0.123   -0.072    0.100    0.073    0.105    0.013   -0.002
 2003    0.044   -0.019    0.106    0.073    0.145    0.199    0.270    0.409    0.445    0.420    0.217    0.218
 2004    0.204    0.203    0.151    0.102   -0.001    0.171    0.221    0.310    0.234    0.236    0.214    0.181
 2005    0.104    0.119    0.278    0.285    0.287    0.320    0.440    0.433    0.412    0.231    0.133    0.209
 2006    0.117    0.068    0.053    0.191    0.302    0.326    0.368    0.394    0.357    0.328    0.282    0.165
 2007    0.164    0.210    0.120    0.152    0.105    0.082    0.122    0.048    0.091    0.151    0.170    0.104
 2008    0.024    0.122    0.152    0.036    0.166    0.249    0.199    0.168    0.192    0.096   -0.006    0.012
 2009   -0.065   -0.171   -0.167   -0.137   -0.068    0.115    0.221    0.146    0.051    0.158    0.063    0.076
 2010    0.033    0.170    0.280    0.419    0.453    0.441    0.443    0.519    0.442    0.317    0.229    0.201
 2011    0.137    0.101    0.048    0.085    0.145    0.171    0.085    0.140    0.137    0.056   -0.077   -0.052
 2012   -0.072   -0.003    0.019    0.073    0.157    0.293    0.368    0.424    0.441    0.322    0.158    0.134
 2013    0.121    0.108    0.151    0.129    0.094    0.039    0.183    0.187    0.248    0.340    0.121    0.029
 2014   -0.069   -0.050   -0.088   -0.101   -0.009    0.055    0.214    0.327    0.303    0.285    0.058    0.051
 2015   -0.015   -0.011   -0.136   -0.079    0.037    0.022    0.125    0.171    0.293    0.317    0.179    0.222
 2016    0.223    0.148    0.181    0.169    0.337    0.402    0.424    0.449    0.450    0.373    0.383    0.327
 2017    0.218    0.219    0.160    0.275    0.306    0.300    0.295    0.302    0.342    0.426    0.344    0.356
 2018    0.165    0.055    0.124    0.056   -0.008   -0.019    0.010    0.105    0.154    0.136   -0.128   -0.068
 2019   -0.022    0.073    0.114    0.116    0.080    0.166    0.345    0.330    0.238    0.151    0.102    0.157
 2020    0.088    0.349    0.361    0.362    0.259    0.265  -99.990  -99.990  -99.990  -99.990  -99.990  -99.990
